age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
42;management;married;tertiary;no;3018;yes;no;telephone;17;aug;284;3;237;1;success;yes
54;technician;divorced;tertiary;no;10157;yes;no;cellular;11;may;390;6;252;0;success;yes
45;services;single;primary;no;14;yes;no;cellular;21;jul;154;2;-1;0;unknown;no
44;blue-collar;married;tertiary;no;439;yes;no;unknown;2;jul;14;2;-1;0;unknown;no
18;blue-collar;married;secondary;no;885;no;no;unknown;23;may;260;1;204;2;unknown;yes
31;blue-collar;married;secondary;no;1017;yes;no;cellular;21;jun;661;3;-1;0;unknown;no
63;housemaid;married;tertiary;no;4431;yes;no;cellular;26;may;178;1;-1;0;unknown;no
34;management;single;secondary;no;520;yes;yes;cellular;19;dec;685;2;-1;0;unknown;no
54;self-employed;single;tertiary;no;7267;yes;no;cellular;14;may;113;2;-1;0;unknown;no
34;admin.;single;primary;no;3096;yes;no;cellular;23;may;565;2;-1;0;unknown;yes
37;admin.;married;tertiary;no;-107;yes;no;cellular;28;may;401;2;-1;0;failure;no
46;management;divorced;secondary;no;-873;yes;yes;unknown;3;jul;848;6;-1;0;unknown;yes
42;services;single;secondary;no;4472;yes;yes;cellular;6;jul;407;1;-1;0;success;yes
45;blue-collar;married;secondary;no;1435;no;no;cellular;4;dec;100;7;-1;0;unknown;no
31;retired;married;tertiary;no;1377;yes;no;unknown;12;nov;600;3;-1;0;unknown;yes
28;blue-collar;married;tertiary;no;-445;yes;no;cellular;26;may;288;1;-1;0;unknown;no
31;technician;married;secondary;no;1165;no;no;cellular;2;jun;45;3;378;2;unknown;no
35;technician;married;secondary;no;-566;no;no;unknown;25;aug;12;3;-1;0;unknown;no
38;blue-collar;married;secondary;no;5435;no;no;cellular;6;dec;118;4;-1;0;unknown;no
52;blue-collar;married;tertiary;no;3501;no;no;cellular;5;may;401;4;-1;0;success;no
41;management;single;secondary;no;825;yes;no;cellular;5;may;250;2;-1;0;failure;yes
46;blue-collar;married;tertiary;no;781;no;no;cellular;8;nov;194;1;-1;0;unknown;no
42;self-employed;married;tertiary;no;1626;yes;no;unknown;5;may;0;1;-1;0;success;yes
28;technician;married;secondary;no;1333;yes;no;cellular;24;jun;148;1;-1;0;unknown;yes
41;self-employed;married;secondary;no;-1520;no;no;cellular;8;nov;44;4;-1;0;failure;no
42;technician;single;secondary;no;-3000;yes;no;cellular;1;aug;157;3;-1;0;unknown;yes
49;management;married;tertiary;no;-1043;no;yes;unknown;20;may;1248;5;143;1;failure;yes
29;blue-collar;married;secondary;no;964;no;yes;cellular;9;may;550;4;-1;0;unknown;yes
18;services;married;secondary;no;-863;yes;no;cellular;14;may;96;2;-1;0;unknown;no
42;housemaid;married;tertiary;no;3808;no;yes;unknown;2;dec;234;4;-1;0;unknown;no
44;self-employed;single;secondary;no;662;yes;no;unknown;11;dec;181;1;58;0;unknown;yes
39;blue-collar;married;secondary;no;6970;yes;yes;cellular;4;aug;36;5;-1;0;unknown;no
41;admin.;married;secondary;no;-334;no;no;cellular;4;jun;1192;4;205;1;unknown;yes
50;unknown;divorced;primary;no;1772;yes;no;cellular;17;jan;143;4;-1;0;unknown;no
35;blue-collar;divorced;tertiary;no;483;no;yes;cellular;26;jul;183;1;-1;0;unknown;no
37;unemployed;single;primary;no;2669;yes;no;telephone;26;may;271;1;-1;0;unknown;yes
41;unemployed;married;secondary;no;4547;yes;no;cellular;16;jul;55;4;25;3;unknown;no
27;technician;married;tertiary;no;3174;no;no;cellular;7;jul;65;4;-1;0;unknown;no
39;self-employed;single;secondary;no;-3000;no;no;cellular;12;jun;55;1;-1;0;unknown;no
40;management;married;unknown;no;2849;yes;yes;unknown;17;dec;126;3;247;1;failure;no
59;technician;married;unknown;no;-1682;yes;no;cellular;5;jan;57;1;-1;0;failure;yes
37;blue-collar;married;secondary;no;420;no;no;cellular;8;aug;678;3;-1;0;unknown;yes
43;management;married;primary;no;3417;yes;no;unknown;20;may;325;3;-1;0;unknown;yes
51;retired;divorced;tertiary;no;-2009;no;no;cellular;5;aug;593;2;-1;0;unknown;yes
31;management;married;secondary;no;4817;yes;yes;cellular;11;jul;490;1;-1;0;unknown;no
56;management;single;primary;no;289;no;no;cellular;26;jan;315;1;-1;0;unknown;yes
60;entrepreneur;married;tertiary;no;7862;no;no;cellular;28;may;72;1;132;2;unknown;no
40;management;married;primary;no;1556;yes;no;cellular;19;may;248;3;-1;0;unknown;yes
35;technician;married;tertiary;no;6466;no;no;cellular;21;may;53;3;-1;0;unknown;no
58;blue-collar;married;primary;no;4943;no;no;cellular;28;aug;36;6;-1;0;unknown;no
49;technician;divorced;primary;no;-483;no;yes;cellular;19;may;260;1;-1;0;unknown;no
41;services;single;secondary;no;-2555;yes;no;cellular;4;jun;254;2;-1;0;unknown;no
56;technician;divorced;unknown;no;1690;no;no;cellular;11;may;44;4;-1;0;unknown;no
55;management;divorced;tertiary;no;-397;no;no;cellular;19;jul;112;1;-1;0;unknown;yes
37;student;married;tertiary;no;6089;no;no;cellular;5;aug;17;4;-1;0;unknown;yes
43;admin.;divorced;secondary;no;609;no;no;unknown;2;may;327;3;-1;0;unknown;yes
47;technician;married;secondary;no;448;yes;no;cellular;25;jul;1139;3;-1;0;success;yes
41;admin.;married;secondary;no;-2837;no;yes;cellular;19;sep;350;2;-1;0;unknown;no
25;technician;married;secondary;no;2607;yes;no;telephone;26;apr;483;4;267;2;unknown;no
30;unknown;married;secondary;no;-2172;yes;no;cellular;17;aug;168;2;-1;0;success;yes
26;blue-collar;married;secondary;no;2677;yes;no;unknown;21;may;26;2;-1;0;other;no
46;blue-collar;married;secondary;no;3090;yes;no;unknown;20;apr;337;4;-1;0;unknown;yes
27;services;single;tertiary;no;-899;yes;no;telephone;18;jun;77;1;-1;0;unknown;no
43;blue-collar;married;secondary;no;4219;yes;no;unknown;15;may;127;2;-1;0;other;yes
61;technician;married;unknown;no;525;yes;no;cellular;16;sep;315;1;-1;0;failure;yes
56;admin.;married;primary;no;-3000;no;no;unknown;28;feb;611;5;-1;0;unknown;yes
20;blue-collar;married;secondary;no;5985;yes;no;cellular;12;apr;173;2;-1;0;unknown;no
26;unemployed;single;secondary;no;-1420;yes;no;cellular;8;jun;847;3;329;2;success;yes
32;self-employed;married;secondary;no;2871;yes;no;unknown;25;jul;190;1;-1;0;unknown;no
28;technician;divorced;secondary;no;2627;yes;no;cellular;6;aug;33;1;-1;0;unknown;no
22;blue-collar;single;secondary;no;2517;yes;no;unknown;24;may;189;3;-1;0;failure;no
40;self-employed;married;secondary;no;2465;no;yes;cellular;18;oct;512;1;-1;0;unknown;yes
48;management;married;tertiary;no;-1560;no;no;cellular;11;dec;200;3;-1;0;unknown;no
51;retired;single;tertiary;no;6424;no;no;cellular;6;jun;358;1;-1;0;unknown;yes
35;services;single;tertiary;no;4218;no;no;cellular;17;aug;206;3;-1;0;unknown;yes
38;management;single;secondary;no;2775;yes;no;cellular;10;jun;205;7;-1;0;unknown;no
44;management;single;secondary;no;-2648;yes;no;cellular;19;feb;87;1;-1;0;unknown;no
39;blue-collar;married;secondary;no;-1585;yes;no;cellular;15;may;58;4;-1;0;unknown;yes
49;services;married;secondary;no;3322;no;no;unknown;16;mar;85;1;-1;0;failure;yes
45;blue-collar;married;secondary;no;-3000;yes;no;cellular;23;dec;151;2;-1;0;unknown;no
36;services;single;secondary;no;2366;yes;no;unknown;28;may;431;3;-1;0;unknown;no
20;blue-collar;single;primary;no;-2643;yes;no;cellular;17;jul;459;4;213;2;unknown;no
57;retired;married;secondary;no;-1254;yes;no;cellular;22;may;46;1;-1;0;unknown;no
33;services;married;primary;no;-2883;no;no;cellular;7;jul;209;2;-1;0;unknown;no
44;blue-collar;married;tertiary;no;2088;no;yes;unknown;19;may;139;5;-1;0;unknown;no
19;admin.;married;tertiary;no;4699;no;no;cellular;27;aug;219;3;-1;0;unknown;yes
40;blue-collar;single;unknown;no;2394;no;no;cellular;8;apr;271;2;341;1;unknown;no
42;retired;single;tertiary;no;2723;no;yes;unknown;8;nov;85;1;-1;0;unknown;yes
42;technician;divorced;primary;no;1853;no;no;cellular;5;oct;654;3;257;0;unknown;yes
74;admin.;married;tertiary;no;3398;no;no;unknown;11;jul;712;1;-1;0;unknown;yes
34;services;married;tertiary;no;2751;yes;no;cellular;2;feb;28;1;-1;0;unknown;no
50;entrepreneur;single;secondary;no;-3000;no;no;cellular;18;may;315;3;199;0;unknown;yes
46;management;single;secondary;no;4068;no;no;cellular;21;oct;8;1;-1;0;unknown;yes
33;technician;married;unknown;no;3753;yes;no;cellular;4;apr;12;3;-1;0;unknown;no
49;entrepreneur;single;secondary;no;263;no;no;unknown;12;may;822;4;-1;0;unknown;yes
39;management;married;tertiary;no;-3000;no;no;unknown;4;jun;308;3;-1;0;unknown;no
50;admin.;married;primary;no;2077;yes;no;cellular;5;may;102;1;-1;0;other;no
62;admin.;married;secondary;no;2329;yes;no;unknown;17;may;288;5;396;1;failure;yes
42;blue-collar;married;secondary;no;28;yes;no;cellular;23;jul;486;1;-1;0;unknown;no
37;admin.;married;secondary;no;1910;no;no;cellular;19;may;532;2;-1;0;failure;no
52;retired;married;tertiary;no;4565;no;no;cellular;10;apr;5;3;-1;0;unknown;no
56;management;single;unknown;no;8542;yes;yes;cellular;14;jun;443;1;-1;0;unknown;no
31;management;married;secondary;no;1790;yes;no;cellular;15;may;498;1;-1;0;unknown;no
36;blue-collar;married;primary;no;2351;yes;no;cellular;26;aug;235;2;-1;0;success;yes
48;blue-collar;divorced;tertiary;no;-1121;no;no;cellular;14;apr;169;3;-1;0;failure;no
39;self-employed;married;secondary;no;-154;yes;yes;unknown;16;jul;30;1;-1;0;failure;no
30;unemployed;married;secondary;no;941;yes;no;unknown;8;may;71;3;-1;0;failure;no
46;admin.;single;secondary;no;4883;no;no;cellular;9;may;175;1;-1;0;unknown;no
48;technician;married;tertiary;no;3806;yes;no;cellular;8;may;520;4;75;6;unknown;no
37;management;married;tertiary;no;7138;yes;no;cellular;11;feb;422;2;-1;0;unknown;yes
41;management;married;secondary;no;-3000;yes;no;unknown;12;oct;178;1;-1;0;failure;no
34;management;married;secondary;no;-2621;yes;no;cellular;14;may;400;1;-1;0;unknown;yes
28;admin.;divorced;unknown;no;4656;yes;no;cellular;18;jul;377;1;-1;0;unknown;no
35;admin.;single;tertiary;no;5696;no;no;unknown;23;dec;224;3;-1;0;other;no
41;retired;single;secondary;no;1449;no;no;cellular;12;jul;64;2;-1;0;unknown;yes
24;entrepreneur;single;secondary;no;-3000;no;no;cellular;4;may;111;1;-1;0;unknown;yes
36;technician;single;tertiary;no;-880;no;no;cellular;13;may;46;4;-1;0;unknown;yes
41;management;married;secondary;no;2356;yes;no;cellular;21;dec;1;3;-1;0;unknown;no
54;blue-collar;divorced;secondary;no;-1348;yes;yes;unknown;27;jul;21;3;-1;0;unknown;no
37;services;married;secondary;no;1905;yes;no;cellular;16;jul;370;2;-1;0;unknown;no
27;blue-collar;single;secondary;no;7045;no;no;cellular;10;may;8;5;-1;0;unknown;no
38;management;divorced;secondary;no;5628;no;no;cellular;21;oct;132;3;-1;0;failure;yes
34;services;married;primary;no;3776;yes;no;cellular;11;aug;1105;5;-1;0;unknown;yes
47;technician;married;secondary;no;1156;yes;no;cellular;25;may;412;3;-1;0;unknown;no
37;technician;married;secondary;no;-134;yes;no;cellular;12;jul;361;3;-1;0;unknown;no
18;self-employed;married;primary;no;3623;yes;no;cellular;18;may;83;1;-1;0;unknown;no
81;self-employed;single;primary;no;1426;no;no;cellular;2;jan;266;1;-1;0;unknown;yes
42;technician;single;tertiary;no;1529;yes;yes;cellular;19;aug;179;4;-1;0;failure;no
41;blue-collar;married;tertiary;no;-3000;no;no;cellular;5;apr;254;1;342;3;unknown;no
24;admin.;married;secondary;no;-793;yes;no;unknown;28;jun;148;2;-1;0;other;no
24;blue-collar;married;tertiary;no;3605;no;no;cellular;20;may;196;4;162;2;failure;yes
39;blue-collar;married;secondary;no;-1953;no;yes;unknown;10;may;1158;3;-1;0;unknown;yes
44;self-employed;married;unknown;no;2147;no;no;cellular;26;jun;103;3;-1;0;unknown;no
48;retired;married;secondary;no;2587;yes;no;unknown;16;dec;63;4;-1;0;unknown;no
43;management;divorced;tertiary;no;2762;yes;yes;cellular;12;may;154;1;-1;0;unknown;yes
27;admin.;married;primary;no;3030;yes;yes;cellular;9;may;193;1;-1;0;failure;no
18;services;married;secondary;no;3233;yes;no;cellular;3;jul;23;1;-1;0;unknown;no
39;blue-collar;single;unknown;no;-521;no;no;cellular;1;may;426;1;-1;0;success;yes
35;self-employed;married;secondary;no;-3000;no;no;unknown;5;apr;142;7;-1;0;unknown;no
27;management;divorced;secondary;no;-1270;yes;no;cellular;8;feb;138;3;-1;0;unknown;yes
50;entrepreneur;divorced;primary;no;3539;yes;no;cellular;17;jan;279;2;-1;0;unknown;no
23;blue-collar;married;tertiary;no;-2252;yes;no;unknown;1;may;385;2;-1;0;unknown;no
47;admin.;married;secondary;no;-1771;no;no;cellular;13;may;1108;3;-1;0;unknown;yes
25;technician;married;secondary;no;-1788;no;no;cellular;6;may;49;4;-1;0;unknown;yes
42;technician;married;unknown;no;-3000;yes;no;cellular;15;aug;110;2;-1;0;unknown;no
51;retired;married;primary;no;-2091;yes;no;cellular;7;apr;47;4;-1;0;unknown;no
37;admin.;single;secondary;no;4351;no;no;unknown;24;dec;553;1;-1;0;unknown;no
59;management;married;tertiary;yes;-800;no;no;cellular;8;jul;206;2;-1;0;success;yes
62;services;married;secondary;no;-3000;yes;no;cellular;3;jan;497;2;-1;0;unknown;yes
43;student;married;secondary;no;-184;no;no;cellular;15;dec;1095;4;-1;0;unknown;yes
46;blue-collar;divorced;secondary;no;2881;no;yes;cellular;4;may;207;2;-1;0;other;no
52;admin.;married;tertiary;no;-3000;yes;yes;cellular;9;may;32;4;166;0;unknown;no
46;services;married;primary;no;4209;no;no;cellular;11;may;116;3;-1;0;unknown;yes
45;entrepreneur;married;tertiary;no;-2972;yes;no;cellular;21;aug;9;5;-1;0;unknown;no
35;blue-collar;divorced;tertiary;no;163;no;no;unknown;14;jun;492;5;361;0;unknown;yes
22;admin.;married;secondary;no;125;yes;no;cellular;27;apr;4;4;343;1;unknown;yes
25;management;single;tertiary;yes;-334;yes;no;cellular;9;apr;233;1;-1;0;unknown;no
67;technician;single;secondary;no;1155;yes;no;cellular;12;aug;29;3;-1;0;unknown;yes
44;technician;married;secondary;no;3685;yes;no;unknown;5;may;1;1;-1;0;unknown;yes
38;management;single;tertiary;no;1227;yes;no;cellular;21;apr;76;4;-1;0;unknown;no
54;management;married;unknown;no;-467;yes;no;unknown;25;jun;208;4;-1;0;unknown;no
32;admin.;single;primary;no;2722;no;no;unknown;6;aug;20;3;-1;0;unknown;no
47;management;single;secondary;no;1971;no;no;unknown;19;may;248;4;-1;0;unknown;yes
41;housemaid;married;secondary;no;-658;yes;no;cellular;28;may;289;1;-1;0;unknown;no
46;retired;married;secondary;no;1476;yes;no;cellular;5;sep;909;3;-1;0;unknown;yes
37;housemaid;single;secondary;no;-907;no;no;cellular;1;apr;597;4;-1;0;unknown;yes
30;blue-collar;married;primary;no;-1247;yes;no;unknown;25;jul;217;3;-1;0;unknown;yes
31;admin.;married;tertiary;no;3767;no;no;unknown;10;dec;409;2;-1;0;unknown;no
32;blue-collar;married;secondary;no;2690;yes;no;unknown;14;oct;117;2;-1;0;unknown;no
40;admin.;married;secondary;no;3661;no;no;cellular;26;feb;229;4;121;2;unknown;yes
23;blue-collar;single;tertiary;no;3255;yes;no;cellular;27;may;134;2;-1;0;failure;yes
27;unemployed;married;tertiary;no;-1311;no;yes;cellular;23;apr;106;3;-1;0;unknown;yes
42;management;married;secondary;no;4353;no;yes;cellular;17;dec;338;1;-1;0;failure;no
39;management;married;secondary;no;457;no;yes;cellular;27;dec;91;1;-1;0;failure;no
43;technician;single;secondary;no;4137;no;no;cellular;11;may;124;1;-1;0;unknown;no
40;unknown;married;secondary;no;974;yes;yes;unknown;4;jul;118;1;-1;0;unknown;no
68;management;single;secondary;no;2289;no;no;cellular;18;oct;531;2;-1;0;unknown;no
42;technician;married;tertiary;no;2379;yes;yes;unknown;19;may;48;4;-1;0;unknown;no
36;blue-collar;divorced;primary;no;3789;no;no;unknown;4;may;124;1;369;2;unknown;no
42;blue-collar;married;primary;no;-3000;yes;no;cellular;12;jan;568;4;-1;0;unknown;no
52;management;married;primary;no;-3000;no;no;cellular;14;may;4;3;163;2;unknown;no
40;self-employed;married;secondary;no;3365;no;no;cellular;18;nov;768;2;-1;0;unknown;yes
48;services;divorced;primary;no;2419;yes;no;cellular;26;nov;595;4;-1;0;unknown;yes
45;blue-collar;single;unknown;no;-976;yes;no;cellular;1;apr;140;2;80;2;other;no
37;blue-collar;married;secondary;no;2442;yes;no;cellular;27;may;275;4;-1;0;unknown;no
42;retired;single;primary;no;-2873;no;no;unknown;20;may;1226;3;-1;0;unknown;yes
